command,category,standard_intent
车窗关上,车窗控制,关闭车窗
导航去公司,导航系统,设置导航
导航设置,导航系统,设置导航
回家路线,导航系统,设置导航
把窗关上,车窗控制,关闭车窗
开窗,车窗控制,打开车窗
打开大灯,灯光控制,打开灯光
播放音乐,娱乐系统,播放音乐
关闭车灯,灯光控制,关闭灯光
导航开启,导航系统,设置导航
停止空调,空调控制,关闭空调
不听了,娱乐系统,停止音乐
把窗户关上,车窗控制,关闭车窗
太亮了关灯,灯光控制,关闭灯光
空调太冷了,空调控制,关闭空调
空调别开了,空调控制,关闭空调
雾灯关闭,灯光控制,关闭灯光
加速超车,驾驶控制,调整车速
关掉音乐,娱乐系统,停止音乐
播放一下音乐,娱乐系统,播放音乐
窗户开个小口,车窗控制,打开车窗
关好车窗,车窗控制,关闭车窗
开近光,灯光控制,打开灯光
空调开开,空调控制,打开空调
刹车,驾驶控制,调整车速
听听音乐,娱乐系统,播放音乐
导航打开,导航系统,设置导航
保持速度,驾驶控制,调整车速
停止音乐,娱乐系统,停止音乐
去机场,导航系统,设置导航
灯打开,灯光控制,打开灯光
歌曲来一首,娱乐系统,播放音乐
冷气关了,空调控制,关闭空调
冷气开大点,空调控制,打开空调
关远光,灯光控制,关闭灯光
窗户关上,车窗控制,关闭车窗
音乐放一下,娱乐系统,播放音乐
车窗关一下,车窗控制,关闭车窗
远光灯关掉,灯光控制,关闭灯光
窗户留条缝,车窗控制,打开车窗
放个歌,娱乐系统,播放音乐
灯光打开,灯光控制,打开灯光
太快来减速,驾驶控制,调整车速
空调开大点,空调控制,打开空调
关大灯,灯光控制,关闭灯光
关雾灯,灯光控制,关闭灯光
关窗透气,车窗控制,关闭车窗
音乐关闭,娱乐系统,停止音乐
开冷风,空调控制,打开空调
空调开一下,空调控制,打开空调
